user_id,session_id,days_in_base,session_qty_acc,add_to_cart_qty_acc,page_pdp_qty_acc,page_plp_qty_acc,page_search_plp_qty_acc,bounce_sessions_qty_acc,navigation_time_acc,is_next_session_activation
16197693562837809792u,6544761736562527428s,2.3148488253355026e-05,1,0,0,2,0,0,2.0,0
16197693562837809792u,9887058807419708843s,0.062789352145046,2,0,1,2,0,1,2.0,0
16197693562837809792u,12989164293630335061s,0.13140046317130327,3,0,1,3,0,2,2.0,1
16207614930369797376u,12202780367284972574s,0.00069444440305233,1,0,2,0,0,0,60.0,1
16210301208560786681u,1627358518795031628s,0.008067129645496607,1,2,0,15,0,0,697.0,0
16210301208560786681u,3646662832016824400s,0.03853009268641472,2,2,0,24,0,0,886.0,0
16210301208560786681u,16175458277342278396s,0.8089351854287088,3,2,0,42,0,0,1318.0,0
16210301208560786681u,5815202941680949145s,1.6238078707829118,4,2,0,50,0,0,1625.0,1
16215174436405617409u,10847246135419619476s,0.0,1,0,0,1,0,1,0.0,0
16215174436405617409u,7922252444979175916s,0.16828703694045544,2,0,1,1,0,2,0.0,1
16227189755974564303u,8546614937442853644s,0.0,1,0,1,0,0,1,0.0,1
16247611437408168700u,11602128630049310869s,0.0,1,0,1,0,0,1,0.0,0
16247611437408168700u,16447655159050939353s,4.717465277761221,2,0,1,0,2,1,62.0,1
16258476319599466921u,627460526941830119s,0.006423610728234053,1,1,3,1,5,0,555.0,1
16291507431728046350u,16777370928742994779s,0.0018865740858018398,1,0,2,0,2,0,163.0,1
16316307991332723007u,7828733912454669016s,0.004444444552063942,1,0,1,0,1,0,384.0,1
16320789826408658811u,17957619172191172172s,0.0030902777798473835,1,2,3,0,0,0,267.0,1
16322242326536197381u,4789750139415890185s,0.002129629720002413,1,0,5,0,0,0,184.0,1
16335865115562785191u,12132264251531516328s,0.001516203861683607,1,1,2,0,0,0,131.0,1
16346728794222741574u,7279779949041503104s,0.0094675924628973,1,0,6,1,0,0,818.0,0
16346728794222741574u,11553195712288788701s,0.06776620401069522,2,0,16,1,0,0,1798.0,1
16360947912977542472u,16188926416215227638s,0.0,1,0,0,1,0,1,0.0,1
1636858132087126325u,15082925438708593724s,0.02740740729495883,1,0,1,6,1,0,2368.0,1
16379711131508997085u,8217453294693528356s,0.0,1,0,1,0,0,1,0.0,0
16379711131508997085u,16824060451323831100s,0.9769212962128222,2,0,10,1,0,1,1588.0,0
16379711131508997085u,12791705219044388735s,1.1252546296454966,3,0,18,1,0,1,3211.0,0
16379711131508997085u,17411539037113563712s,1.207418981473893,4,2,28,1,1,1,4207.0,1
16389098249113909774u,5177389450620539096s,0.013726851902902126,1,0,7,1,7,0,1186.0,0
16389098249113909774u,17406877565959974762s,2.1995601849630475,2,0,9,2,7,0,1475.0,1
164170520066057087u,3955860852353516300s,0.00258101848885417,1,1,2,0,0,0,223.0,1
16419037397607020680u,5406658652466560430s,0.00045138923451304436,1,0,1,2,2,0,39.0,1
16423555916005327179u,10616189931481191218s,0.05466435197740793,1,0,1,6,2,0,4723.0,0
16423555916005327179u,11609772200310815596s,0.10776620358228683,2,0,2,7,3,0,4928.0,1
16464262272284015441u,15992335025885861611s,0.0,1,0,1,0,0,1,0.0,1
16467671664001717313u,11248059120017477919s,0.0,1,0,0,1,0,1,0.0,0
16467671664001717313u,17160289513648702868s,0.04335648147389293,2,0,0,2,0,2,0.0,1
16496764880392673453u,2666422540380853522s,0.00042824074625968933,1,0,0,2,0,0,37.0,1
16500384964335128633u,14717615937674228442s,0.0,1,0,1,0,0,1,0.0,1
16513631267515403166u,15138628912360939232s,0.009537036996334791,1,1,4,2,0,0,824.0,1
16517776868897039942u,11594901707907396306s,0.018506944179534912,1,1,2,1,5,0,1599.0,1
16522653260134981702u,14312850543946017480s,0.0043518515303730965,1,3,3,0,1,0,376.0,1
16523793055104371714u,12786681224515758403s,0.001527777872979641,1,0,1,1,1,0,132.0,1
16554773421060721592u,6927925398638446946s,0.0004398147575557232,1,1,1,0,0,0,38.0,1
16567311515953286416u,14841914010869325083s,0.0,1,0,1,0,0,1,0.0,0
16567311515953286416u,16208080655570800913s,0.9939236110076308,2,0,2,0,0,2,0.0,1
16583374539193361259u,5989371021606751540s,0.008888889104127884,1,0,3,0,1,0,768.0,0
16583374539193361259u,13833911100217486219s,0.22009259276092052,2,4,18,0,5,0,2882.0,0
16583374539193361259u,2894847354734617473s,0.5242245369590819,3,4,18,0,8,0,2963.0,1
16587022437503392230u,18435461688705013674s,0.0,1,0,1,0,0,1,0.0,0
16587022437503392230u,616007620333844487s,0.8722453704103827,2,0,2,0,0,2,0.0,0
16587022437503392230u,4349643235278770803s,1.729907407425344,3,0,3,0,0,3,0.0,1
16613029583867735487u,2819452670238564330s,0.0,1,0,0,1,0,1,0.0,1
16615142308166587240u,14130456346290810575s,0.0011342591606080532,1,0,2,0,0,0,98.0,1
16635773510411370381u,12718193652710742443s,0.0,1,0,1,0,0,1,0.0,1
16675699878152034875u,2134369175381868191s,0.0006597223691642284,1,0,0,2,0,0,57.0,1
1668237743689484133u,13493988004680098243s,0.008252314757555723,1,0,0,2,0,0,713.0,0
1668237743689484133u,16175975947551471728s,0.052881944458931684,2,0,0,3,0,1,713.0,1
16713217353789439799u,15631306806419111359s,0.01247685169801116,1,0,0,2,3,0,1078.0,1
16726727158847094268u,17049592226305200222s,0.0,1,0,0,1,0,1,0.0,0
16726727158847094268u,10470719488927027131s,0.03263888880610466,2,2,0,3,0,1,48.0,0
16726727158847094268u,1836026173072151480s,0.14206018531695008,3,2,0,5,0,1,70.0,1
16763305965447226634u,6467319006714616203s,0.0,1,0,0,1,0,1,0.0,1
16768172215030737817u,18103201711529808516s,0.009490740951150656,1,0,1,1,2,0,820.0,0
16768172215030737817u,1535350343514210676s,1.0210069445893168,2,0,2,1,8,0,1042.0,0
16768172215030737817u,14910007121591164758s,2.9849305558018386,3,0,2,2,8,1,1042.0,1
16769495687724282650u,8983346887999424704s,0.0,1,0,1,0,0,1,0.0,0
